Total population,year,population
New Caledonia,1910,51063.0
New Zealand,1910,1044340.0
Ngorno-Karabakh,1910,
Nicaragua,1910,659199.0
Niger,1910,2052052.0
Nigeria,1910,17872899.0
Niue,1910,4596.0
Norfolk Island,1910,
Northern Cyprus,1910,
Northern Mariana Islands,1910,5572.0
Norway,1910,2383631.0
Oman,1910,436152.0
Pakistan,1910,19813366.0
Palau,1910,6083.0
Panama,1910,326165.0
Papua New Guinea,1910,1326296.0
Paraguay,1910,562257.0
Peru,1910,4174310.0
Philippines,1910,7771116.0
Pitcairn,1910,
Poland,1910,26493422.0
Portugal,1910,5895516.0
Puerto Rico,1910,1130424.0
Qatar,1910,17143.0
Reunion,1910,181279.0
Romania,1910,11878502.0
Russia,1910,71044207.0
Rwanda,1910,1688211.0
St. Barthélemy,1910,
St. Helena,1910,3471.0
St. Kitts and Nevis,1910,34073.0
St. Lucia,1910,49588.0
St. Martin,1910,
St. Vincent and the Grenadines,1910,42765.0
St.-Pierre-et-Miquelon,1910,3422.0
Samoa,1910,37850.0
San Marino,1910,9843.0
Sao Tome and Principe,1910,44803.0
Saudi Arabia,1910,2635671.0
Senegal,1910,1881695.0
Serbia,1910,4726618.0
Serbia and Montenegro,1910,
Serbia excluding Kosovo,1910,
Seychelles,1910,22522.0
Sierra Leone,1910,1480939.0
Singapore,1910,294092.0
Slovak Republic,1910,2959113.0
Slovenia,1910,1036529.0
Solomon Islands,1910,73224.0
Somalia,1910,1752623.0
Somaliland,1910,
South Africa,1910,5785887.0
South Ossetia,1910,
Spain,1910,19910849.0
Sri Lanka,1910,4692399.0
Sudan,1910,4908169.0
Suriname,1910,157730.0
Svalbard,1910,
Swaziland,1910,106983.0
Sweden,1910,5492757.0
Switzerland,1910,3726392.0
Syria,1910,1956253.0
Taiwan,1910,
Tajikistan,1910,1055995.0
Tanzania,1910,4110840.0
Thailand,1910,8488052.0
Timor-Leste,1910,368796.0
Togo,1910,978586.0
Tokelau,1910,482.0
Tonga,1910,22689.0
Transnistria,1910,
Trinidad and Tobago,1910,336841.0
Tunisia,1910,1844566.0
Turkey,1910,14746479.0
Turkmenistan,1910,837623.0
Turks and Caicos Islands,1910,5536.0
Tuvalu,1910,4125.0
Uganda,1910,2825381.0
Ukraine,1910,25729036.0
United Arab Emirates,1910,50669.0
United Kingdom,1910,41804912.0
United States,1910,93559186.0
Uruguay,1910,1092482.0
USSR,1910,
Uzbekistan,1910,4750852.0
Wallis et Futuna,1910,5752.0
Vanuatu,1910,40134.0
Venezuela,1910,3009466.0
West Bank and Gaza,1910,333508.0
West Germany,1910,
Western Sahara,1910,8051.0
Vietnam,1910,16454275.0
Virgin Islands (U.S.),1910,27325.0
North Yemen (former),1910,
South Yemen (former),1910,
Yemen,1910,3301368.0
Yugoslavia,1910,
Zambia,1910,805537.0
Zimbabwe,1910,2050255.0
Åland,1910,
South Sudan,1910,2092703.0
Curaçao,1910,
Sint Maarten (Dutch part),1910,
St. Martin (French part),1910,
Antarctica,1910,
Bouvet Island,1910,
British Indian Ocean Territory,1910,
Clipperton,1910,
French Southern and Antarctic Lands,1910,
Gaza Strip,1910,
Heard and McDonald Islands,1910,
Northern Marianas,1910,
South Georgia and the South Sandwich Islands,1910,
US Minor Outlying Islands,1910,
Virgin Islands,1910,
West Bank,1910,
Abkhazia,1920,
Afghanistan,1920,5813814.0
Akrotiri and Dhekelia,1920,
Albania,1920,963956.0
Algeria,1920,6063800.0
American Samoa,1920,8173.0
Andorra,1920,4974.0
Angola,1920,3387663.0
Anguilla,1920,4097.0
Antigua and Barbuda,1920,30000.0
Argentina,1920,8884894.0
Armenia,1920,1025070.0
Aruba,1920,32539.0
Australia,1920,5345428.0
Austria,1920,6459401.0
Azerbaijan,1920,2189291.0
Bahamas,1920,53436.0
Bahrain,1920,87364.0
Bangladesh,1920,32566951.0
Barbados,1920,158370.0
Belarus,1920,5909582.0
Belgium,1920,7554691.0
Belize,1920,44561.0
Benin,1920,1689073.0
Bermuda,1920,19913.0
Bhutan,1920,151434.0
Bolivia,1920,2333955.0
Bosnia and Herzegovina,1920,2036931.0
Botswana,1920,152437.0
Brazil,1920,27660862.0
British Virgin Islands,1920,5192.0
Brunei,1920,25463.0
Bulgaria,1920,5085764.0
Burkina Faso,1920,3442161.0
Burundi,1920,1823651.0
Cambodia,1920,3326194.0
Cameroon,1920,2506103.0
Canada,1920,8764205.0
Cape Verde,1920,135600.0
Cayman Islands,1920,5359.0
Central African Republic,1920,778576.0
Chad,1920,1484476.0
Channel Islands,1920,84109.0
Chile,1920,3760459.0
China,1920,462750597.0
Christmas Island,1920,
Cocos Island,1920,
Colombia,1920,6394596.0
Comoros,1920,122773.0
"Congo, Dem. Rep.",1920,9945931.0
"Congo, Rep.",1920,646890.0
Cook Is,1920,9334.0
Costa Rica,1920,420818.0
Cote d'Ivoire,1920,2129255.0
Croatia,1920,2959916.0
Cuba,1920,3067116.0
Cyprus,1920,308148.0
Czech Republic,1920,7962646.0
Czechoslovakia,1920,
Denmark,1920,3242599.0
Djibouti,1920,48984.0
Dominica,1920,36735.0
Dominican Republic,1920,906435.0
East Germany,1920,
Ecuador,1920,1869330.0
Egypt,1920,13103160.0
El Salvador,1920,1171634.0
Equatorial Guinea,1920,113669.0
Eritrea,1920,767181.0
Eritrea and Ethiopia,1920,
Estonia,1920,835438.0
Ethiopia,1920,11856154.0
Faeroe Islands,1920,26036.0
Falkland Is (Malvinas),1920,899.0
Fiji,1920,155276.0
Finland,1920,3140763.0
France,1920,39069937.0
French Guiana,1920,20336.0
French Polynesia,1920,34197.0
Gabon,1920,369219.0
Gambia,1920,217254.0
Georgia,1920,2673184.0
Germany,1920,62277173.0
Ghana,1920,2420362.0
Gibraltar,1920,17310.0
Greece,1920,5640215.0
Greenland,1920,18711.0
Grenada,1920,66462.0
Guadeloupe,1920,168009.0
Guam,1920,14473.0
Guatemala,1920,1723811.0
Guernsey,1920,
Guinea,1920,2370207.0
Guinea-Bissau,1920,436906.0
Guyana,1920,326874.0
Haiti,1920,2144973.0
Holy See,1920,911.0
Honduras,1920,733457.0
"Hong Kong, China",1920,637575.0
Hungary,1920,7956033.0
Iceland,1920,117013.0
India,1920,267795301.0
Indonesia,1920,47287780.0
Iran,1920,11758739.0
Iraq,1920,3017350.0
Ireland,1920,3071970.0
Isle of Man,1920,45471.0
Israel,1920,430747.0
Italy,1920,37422220.0
Jamaica,1920,854667.0
Japan,1920,55545937.0
Jersey,1920,
Jordan,1920,351638.0
Kazakhstan,1920,5077760.0
Kenya,1920,2647683.0
Kiribati,1920,30111.0
North Korea,1920,6117873.0
South Korea,1920,11839704.0
United Korea (former),1920,
Kosovo,1920,
Kuwait,1920,108683.0
Kyrgyz Republic,1920,1320904.0
Lao,1920,1429428.0
Latvia,1920,1482686.0
Lebanon,1920,699479.0
Lesotho,1920,584540.0
Liberia,1920,725339.0
Libya,1920,958280.0
Liechtenstein,1920,11246.0
Lithuania,1920,1954935.0
Luxembourg,1920,243705.0
"Macao, China",1920,84533.0
"Macedonia, FYR",1920,956669.0
Madagascar,1920,3312615.0
Malawi,1920,1226438.0
Malaysia,1920,3525501.0
Maldives,1920,65262.0
Mali,1920,3570023.0
Malta,1920,257050.0
Marshall Islands,1920,10765.0
Martinique,1920,177210.0
Mauritania,1920,579393.0
Mauritius,1920,375318.0
Mayotte,1920,12998.0
Mexico,1920,15072751.0
"Micronesia, Fed. Sts.",1920,27084.0
Moldova,1920,1774278.0
Monaco,1920,16163.0
Mongolia,1920,731355.0
Montenegro,1920,303030.0
Montserrat,1920,11792.0
Morocco,1920,5687271.0
Mozambique,1920,4862656.0
Myanmar,1920,13279350.0
Namibia,1920,232992.0
Nauru,1920,2617.0
Nepal,1920,6228667.0
Netherlands,1920,6846453.0
Netherlands Antilles,1920,
New Caledonia,1920,54285.0
New Zealand,1920,1236395.0
Ngorno-Karabakh,1920,
Nicaragua,1920,759914.0
Niger,1920,2169089.0
Nigeria,1920,18664138.0
Niue,1920,4612.0
Norfolk Island,1920,
Northern Cyprus,1920,
Northern Mariana Islands,1920,5895.0
Norway,1920,2634635.0
Oman,1920,444064.0
Pakistan,1920,21317683.0
Palau,1920,6396.0
Panama,1920,479942.0
Papua New Guinea,1920,1411959.0
Paraguay,1920,710007.0
Peru,1920,4741538.0
Philippines,1920,9410424.0
Pitcairn,1920,
Poland,1920,24166006.0
Portugal,1920,6057815.0
Puerto Rico,1920,1319067.0
Qatar,1920,18514.0
Reunion,1920,195284.0
Romania,1920,12320811.0
Russia,1920,77871987.0
Rwanda,1920,1803946.0
St. Barthélemy,1920,
St. Helena,1920,3670.0
St. Kitts and Nevis,1920,36760.0
St. Lucia,1920,52172.0
St. Martin,1920,
St. Vincent and the Grenadines,1920,43844.0
St.-Pierre-et-Miquelon,1920,3680.0
Samoa,1920,36337.0
San Marino,1920,10502.0
Sao Tome and Principe,1920,48309.0
Saudi Arabia,1920,2737469.0
Senegal,1920,2016303.0
Serbia,1920,5159406.0
Serbia and Montenegro,1920,
Serbia excluding Kosovo,1920,
Seychelles,1920,24792.0
Sierra Leone,1920,1586990.0
Singapore,1920,395975.0
Slovak Republic,1920,3067472.0
Slovenia,1920,1131761.0
Solomon Islands,1920,75170.0
Somalia,1920,1865310.0
Somaliland,1920,
South Africa,1920,7155299.0
South Ossetia,1920,
Spain,1920,21308441.0
Sri Lanka,1920,5281322.0
Sudan,1920,4990580.0
Suriname,1920,169910.0
Svalbard,1920,
Swaziland,1920,115176.0
Sweden,1920,5870418.0
Switzerland,1920,3865690.0
Syria,1920,2200281.0
Taiwan,1920,
Tajikistan,1920,1156226.0
Tanzania,1920,4254103.0
Thailand,1920,10024952.0
Timor-Leste,1920,411564.0
Togo,1920,1067807.0
Tokelau,1920,652.0
Tonga,1920,24671.0
Transnistria,1920,
Trinidad and Tobago,1920,387111.0
Tunisia,1920,2152882.0
Turkey,1920,14200404.0
Turkmenistan,1920,917936.0
Turks and Caicos Islands,1920,5483.0
Tuvalu,1920,4362.0
Uganda,1920,2904119.0
Ukraine,1920,28213816.0
United Arab Emirates,1920,54703.0
United Kingdom,1920,43825720.0
United States,1920,108441644.0
Uruguay,1920,1377048.0
USSR,1920,
Uzbekistan,1920,5251813.0
Wallis et Futuna,1920,6037.0
Vanuatu,1920,41806.0
Venezuela,1920,3230455.0
West Bank and Gaza,1920,348418.0
West Germany,1920,
Western Sahara,1920,9056.0
Vietnam,1920,18182468.0
Virgin Islands (U.S.),1920,24921.0
North Yemen (former),1920,
South Yemen (former),1920,
Yemen,1920,3517932.0
Yugoslavia,1920,
Zambia,1920,958388.0
Zimbabwe,1920,2200198.0
Åland,1920,
South Sudan,1920,2248071.0
Curaçao,1920,
Sint Maarten (Dutch part),1920,
St. Martin (French part),1920,
Antarctica,1920,
Bouvet Island,1920,
British Indian Ocean Territory,1920,
Clipperton,1920,
French Southern and Antarctic Lands,1920,
Gaza Strip,1920,
Heard and McDonald Islands,1920,
Northern Marianas,1920,
South Georgia and the South Sandwich Islands,1920,
US Minor Outlying Islands,1920,
Virgin Islands,1920,
West Bank,1920,
Abkhazia,1930,
Afghanistan,1930,6394908.0
Akrotiri and Dhekelia,1930,
Albania,1930,1015991.0
Algeria,1930,6876190.0
American Samoa,1930,10081.0
Andorra,1930,5309.0
Angola,1930,3642200.0
Anguilla,1930,4400.0
Antigua and Barbuda,1930,33647.0
Argentina,1930,11898249.0
Armenia,1930,1123006.0
Aruba,1930,34286.0
Australia,1930,6473803.0
Austria,1930,6684058.0
Azerbaijan,1930,2399377.0
Bahamas,1930,59422.0
Bahrain,1930,95901.0
Bangladesh,1930,34357412.0
Barbados,1930,169353.0
Belarus,1930,6476304.0
Belgium,1930,8070904.0
Belize,1930,50465.0
Benin,1930,1861685.0
Bermuda,1930,27104.0
Bhutan,1930,158911.0
Bolivia,1930,2624832.0
Bosnia and Herzegovina,1930,2223485.0
Botswana,1930,216830.0
Brazil,1930,33888997.0
British Virgin Islands,1930,5613.0
Brunei,1930,29451.0
Bulgaria,1930,6034446.0
Burkina Faso,1930,3701674.0
Burundi,1930,1970229.0
Cambodia,1930,3653758.0
Cameroon,1930,2926419.0
Canada,1930,10450983.0
Cape Verde,1930,148278.0
Cayman Islands,1930,5866.0
Central African Republic,1930,816635.0
Chad,1930,1484476.0
Channel Islands,1930,89758.0
Chile,1930,4309478.0
China,1930,481222579.0
Christmas Island,1930,
Cocos Island,1930,
Colombia,1930,8144252.0
Comoros,1930,132799.0
"Congo, Dem. Rep.",1930,10624852.0
"Congo, Rep.",1930,695577.0
Cook Is,1930,10732.0
Costa Rica,1930,550462.0
Cote d'Ivoire,1930,2278766.0
Croatia,1930,3231909.0
Cuba,1930,3918827.0
Cyprus,1930,345296.0
Czech Republic,1930,8259391.0
Czechoslovakia,1930,
Denmark,1930,3542561.0
Djibouti,1930,52894.0
Dominica,1930,40686.0
Dominican Republic,1930,1289191.0
East Germany,1930,
Ecuador,1930,2042719.0
Egypt,1930,15293269.0
El Salvador,1930,1446357.0
Equatorial Guinea,1930,157032.0
Eritrea,1930,875495.0
Eritrea and Ethiopia,1930,
Estonia,1930,915693.0
Ethiopia,1930,13651181.0
Faeroe Islands,1930,27784.0
Falkland Is (Malvinas),1930,1227.0
Fiji,1930,180533.0
Finland,1930,3450505.0
France,1930,41662571.0
French Guiana,1930,21870.0
French Polynesia,1930,38808.0
Gabon,1930,401405.0
Gambia,1930,234015.0
Georgia,1930,2929603.0
Germany,1930,66439556.0
Ghana,1930,3079535.0
Gibraltar,1930,18311.0
Greece,1930,6253203.0
Greenland,1930,20015.0
Grenada,1930,68474.0
Guadeloupe,1930,180831.0
Guam,1930,19440.0
Guatemala,1930,1918783.0
Guernsey,1930,
Guinea,1930,2588541.0
Guinea-Bissau,1930,466967.0
Guyana,1930,350185.0
Haiti,1930,2448268.0
Holy See,1930,911.0
Honduras,1930,962852.0
"Hong Kong, China",1930,822959.0
Hungary,1930,8635353.0
Iceland,1930,124871.0
India,1930,285470839.0
Indonesia,1930,53403726.0
Iran,1930,13315170.0
Iraq,1930,3728811.0
Ireland,1930,2907196.0
Isle of Man,1930,48557.0
Israel,1930,564900.0
Italy,1930,40771062.0
Jamaica,1930,1009819.0
Japan,1930,63863524.0
Jersey,1930,
Jordan,1930,376677.0
Kazakhstan,1930,5564071.0
Kenya,1930,3076616.0
Kiribati,1930,31000.0
North Korea,1930,7366694.0
South Korea,1930,13929869.0
United Korea (former),1930,
Kosovo,1930,
Kuwait,1930,120719.0
Kyrgyz Republic,1930,1447315.0
Lao,1930,1506126.0
Latvia,1930,1625309.0
Lebanon,1930,868061.0
Lesotho,1930,630150.0
Liberia,1930,787369.0
Libya,1930,1007296.0
Liechtenstein,1930,12018.0
Lithuania,1930,2142841.0
Luxembourg,1930,260091.0
"Macao, China",1930,157434.0
"Macedonia, FYR",1930,1044639.0
Madagascar,1930,3546360.0
Malawi,1930,1601481.0
Malaysia,1930,4389308.0
Maldives,1930,72566.0
Mali,1930,3913839.0
Malta,1930,274305.0
Marshall Islands,1930,11450.0
Martinique,1930,190959.0
Mauritania,1930,604001.0
Mauritius,1930,391293.0
Mayotte,1930,13624.0
Mexico,1930,17373870.0
"Micronesia, Fed. Sts.",1930,28511.0
Moldova,1930,1944279.0
Monaco,1930,17379.0
Mongolia,1930,746004.0
Montenegro,1930,330979.0
Montserrat,1930,12465.0
Morocco,1930,6617663.0
Mozambique,1930,5301322.0
Myanmar,1930,14751220.0
Namibia,1930,274780.0
Nauru,1930,2715.0
Nepal,1930,6899013.0
Netherlands,1930,7875051.0
Netherlands Antilles,1930,
New Caledonia,1930,57685.0
New Zealand,1930,1491937.0
Ngorno-Karabakh,1930,
Nicaragua,1930,815187.0
Niger,1930,2285892.0
Nigeria,1930,19220499.0
Niue,1930,4629.0
Norfolk Island,1930,
Northern Cyprus,1930,
Northern Mariana Islands,1930,6237.0
Norway,1930,2807922.0
Oman,1930,447387.0
Pakistan,1930,23358708.0
Palau,1930,6725.0
Panama,1930,515938.0
Papua New Guinea,1930,1503498.0
Paraguay,1930,894195.0
Peru,1930,5536002.0
Philippines,1930,11577988.0
Pitcairn,1930,
Poland,1930,28169922.0
Portugal,1930,6804302.0
Puerto Rico,1930,1560784.0
Qatar,1930,20264.0
Reunion,1930,210640.0
Romania,1930,14064439.0
Russia,1930,85369549.0
Rwanda,1930,1918878.0
St. Barthélemy,1930,
St. Helena,1930,4136.0
St. Kitts and Nevis,1930,39653.0
St. Lucia,1930,58413.0
St. Martin,1930,
St. Vincent and the Grenadines,1930,47638.0
St.-Pierre-et-Miquelon,1930,3956.0
Samoa,1930,45959.0
San Marino,1930,11208.0
Sao Tome and Principe,1930,52054.0
Saudi Arabia,1930,2853764.0
Senegal,1930,2156254.0
Serbia,1930,5633467.0
Serbia and Montenegro,1930,
Serbia excluding Kosovo,1930,
Seychelles,1930,26792.0
Sierra Leone,1930,1696801.0
Singapore,1930,577478.0
Slovak Republic,1930,3181225.0
Slovenia,1930,1235784.0
Solomon Islands,1930,78636.0
Somalia,1930,1986325.0
Somaliland,1930,
South Africa,1930,8880522.0
South Ossetia,1930,
Spain,1930,23513708.0
Sri Lanka,1930,5748259.0
Sudan,1930,5217457.0
Suriname,1930,183208.0
Svalbard,1930,
Swaziland,1930,140827.0
Sweden,1930,6140566.0
Switzerland,1930,4042310.0
Syria,1930,2544331.0
Taiwan,1930,
Tajikistan,1930,1266911.0
Tanzania,1930,5137523.0
Thailand,1930,12675207.0
Timor-Leste,1930,448017.0
Togo,1930,1165736.0
Tokelau,1930,880.0
Tonga,1930,28434.0
Transnistria,1930,
Trinidad and Tobago,1930,412941.0
Tunisia,1930,2556135.0
Turkey,1930,14930772.0
Turkmenistan,1930,1006180.0
Turks and Caicos Islands,1930,5710.0
Tuvalu,1930,4612.0
Uganda,1930,3474656.0
Ukraine,1930,30946045.0
United Arab Emirates,1930,59498.0
United Kingdom,1930,45957969.0
United States,1930,125055606.0
Uruguay,1930,1720139.0
USSR,1930,
Uzbekistan,1930,5755637.0
Wallis et Futuna,1930,6337.0
Vanuatu,1930,43579.0
Venezuela,1930,3562393.0
West Bank and Gaza,1930,456931.0
West Germany,1930,
Western Sahara,1930,10239.0
Vietnam,1930,20146281.0
Virgin Islands (U.S.),1930,22103.0
North Yemen (former),1930,
South Yemen (former),1930,
Yemen,1930,3787588.0
Yugoslavia,1930,
Zambia,1930,1293013.0
Zimbabwe,1930,2363023.0
Åland,1930,
South Sudan,1930,2350271.0
Curaçao,1930,
Sint Maarten (Dutch part),1930,
St. Martin (French part),1930,
Antarctica,1930,
Bouvet Island,1930,
British Indian Ocean Territory,1930,
Clipperton,1930,
French Southern and Antarctic Lands,1930,
Gaza Strip,1930,
Heard and McDonald Islands,1930,
Northern Marianas,1930,
South Georgia and the South Sandwich Islands,1930,
US Minor Outlying Islands,1930,
Virgin Islands,1930,
West Bank,1930,
Abkhazia,1940,
Afghanistan,1940,7034081.0
Akrotiri and Dhekelia,1940,
Albania,1940,1123210.0
Algeria,1940,7797418.0
American Samoa,1940,13135.0
Andorra,1940,5667.0
Angola,1940,3920011.0
Anguilla,1940,4725.0
Antigua and Barbuda,1940,38495.0
Argentina,1940,14200813.0
Armenia,1940,1230298.0
Aruba,1940,36127.0
Australia,1940,7052012.0
Austria,1940,6700724.0
Azerbaijan,1940,2629623.0
Bahamas,1940,66812.0
Bahrain,1940,105272.0
Bangladesh,1940,37445667.0
Barbados,1940,184312.0
Belarus,1940,7097374.0
Belgium,1940,8330676.0
Belize,1940,55768.0
Benin,1940,2051937.0
Bermuda,1940,31550.0
Bhutan,1940,166757.0
Bolivia,1940,2945272.0
Bosnia and Herzegovina,1940,2427124.0
Botswana,1940,282215.0
Brazil,1940,41545129.0
British Virgin Islands,1940,6184.0
Brunei,1940,35616.0
Bulgaria,1940,6672496.0
Burkina Faso,1940,3980754.0
Burundi,1940,2128589.0
Cambodia,1940,4013581.0
Cameroon,1940,3557999.0
Canada,1940,11655920.0
Cape Verde,1940,162140.0
Cayman Islands,1940,6526.0
Central African Republic,1940,959880.0
Chad,1940,1727303.0
Channel Islands,1940,95788.0
Chile,1940,5108117.0
China,1940,509858820.0
Christmas Island,1940,
Cocos Island,1940,
Colombia,1940,9442173.0
Comoros,1940,143644.0
"Congo, Dem. Rep.",1940,11350117.0
"Congo, Rep.",1940,747928.0
Cook Is,1940,12821.0
Costa Rica,1940,726617.0
Cote d'Ivoire,1940,2438775.0
Croatia,1940,3528895.0
Cuba,1940,4672303.0
Cyprus,1940,407453.0
Czech Republic,1940,8567195.0
Czechoslovakia,1940,
Denmark,1940,3832859.0
Djibouti,1940,57116.0
Dominica,1940,45150.0
Dominican Republic,1940,1718123.0
East Germany,1940,
Ecuador,1940,2583081.0
Egypt,1940,17849440.0
El Salvador,1940,1785176.0
Equatorial Guinea,1940,170989.0
Eritrea,1940,999101.0
Eritrea and Ethiopia,1940,
Estonia,1940,1003658.0
Ethiopia,1940,15717976.0
Faeroe Islands,1940,29649.0
Falkland Is (Malvinas),1940,1676.0
Fiji,1940,220933.0
Finland,1940,3696232.0
France,1940,40927546.0
French Guiana,1940,23520.0
French Polynesia,1940,47669.0
Gabon,1940,436398.0
Gambia,1940,252069.0
Georgia,1940,3210619.0
Germany,1940,71244059.0
Ghana,1940,3918230.0
Gibraltar,1940,19369.0
Greece,1940,7149235.0
Greenland,1940,21409.0
Grenada,1940,70899.0
Guadeloupe,1940,194631.0
Guam,1940,23307.0
Guatemala,1940,2374197.0
Guernsey,1940,
Guinea,1940,2826987.0
Guinea-Bissau,1940,499097.0
Guyana,1940,375159.0
Haiti,1940,2781219.0
Holy See,1940,911.0
Honduras,1940,1162179.0
"Hong Kong, China",1940,1741134.0
Hungary,1940,9268490.0
Iceland,1940,133257.0
India,1940,324372335.0
Indonesia,1940,61821588.0
Iran,1940,15077617.0
Iraq,1940,4608028.0
Ireland,1940,2936278.0
Isle of Man,1940,51852.0
Israel,1940,877043.0
Italy,1940,44284798.0
Jamaica,1940,1209585.0
Japan,1940,72709185.0
Jersey,1940,
Jordan,1940,403500.0
Kazakhstan,1940,6096956.0
Kenya,1940,4172070.0
Kiribati,1940,31916.0
North Korea,1940,8870433.0
South Korea,1940,15684579.0
United Korea (former),1940,
Kosovo,1940,
Kuwait,1940,134088.0
Kyrgyz Republic,1940,1585823.0
Lao,1940,1586939.0
Latvia,1940,1781651.0
Lebanon,1940,1077273.0
Lesotho,1940,679318.0
Liberia,1940,854704.0
Libya,1940,1058818.0
Liechtenstein,1940,12843.0
Lithuania,1940,2348809.0
Luxembourg,1940,277578.0
"Macao, China",1940,331130.0
"Macedonia, FYR",1940,1140699.0
Madagascar,1940,3796599.0
Malawi,1940,1957205.0
Malaysia,1940,5404596.0
Maldives,1940,75107.0
Mali,1940,4290767.0
Malta,1940,292719.0
Marshall Islands,1940,12179.0
Martinique,1940,205775.0
Mauritania,1940,629653.0
Mauritius,1940,410851.0
Mayotte,1940,14279.0
Mexico,1940,20699956.0
"Micronesia, Fed. Sts.",1940,30013.0
Moldova,1940,2130570.0
Monaco,1940,18687.0
Mongolia,1940,760947.0
Montenegro,1940,361506.0
Montserrat,1940,13258.0
Morocco,1940,7700259.0
Mozambique,1940,5779561.0
Myanmar,1940,16865022.0
Namibia,1940,330015.0
Nauru,1940,2817.0
Nepal,1940,7641505.0
Netherlands,1940,8860722.0
Netherlands Antilles,1940,
New Caledonia,1940,61297.0
New Zealand,1940,1629869.0
Ngorno-Karabakh,1940,
Nicaragua,1940,986178.0
Niger,1940,2408985.0
Nigeria,1940,26625012.0
Niue,1940,4646.0
Norfolk Island,1940,
Northern Cyprus,1940,
Northern Mariana Islands,1940,6599.0
Norway,1940,2971546.0
Oman,1940,450735.0
Pakistan,1940,27847671.0
Palau,1940,7071.0
Panama,1940,690917.0
Papua New Guinea,1940,1600972.0
Paraguay,1940,1128833.0
Peru,1940,6506528.0
Philippines,1940,14552395.0
Pitcairn,1940,
Poland,1940,30041062.0
Portugal,1940,7693201.0
Puerto Rico,1940,1894568.0
Qatar,1940,22179.0
Reunion,1940,227203.0
Romania,1940,15715805.0
Russia,1940,93588981.0
Rwanda,1940,2041133.0
St. Barthélemy,1940,
St. Helena,1940,4651.0
St. Kitts and Nevis,1940,42774.0
St. Lucia,1940,65788.0
St. Martin,1940,
St. Vincent and the Grenadines,1940,56034.0
St.-Pierre-et-Miquelon,1940,4254.0
Samoa,1940,61296.0
San Marino,1940,11960.0
Sao Tome and Principe,1940,56089.0
Saudi Arabia,1940,2974999.0
Senegal,1940,2305918.0
Serbia,1940,6151086.0
Serbia and Montenegro,1940,
Serbia excluding Kosovo,1940,
Seychelles,1940,31073.0
Sierra Leone,1940,1814210.0
Singapore,1940,748657.0
Slovak Republic,1940,3299197.0
Slovenia,1940,1349369.0
Solomon Islands,1940,83859.0
Somalia,1940,2115192.0
Somaliland,1940,
South Africa,1940,11021715.0
South Ossetia,1940,
Spain,1940,25828302.0
Sri Lanka,1940,6175921.0
Sudan,1940,5454648.0
Suriname,1940,197548.0
Svalbard,1940,
Swaziland,1940,172622.0
Sweden,1940,6353381.0
Switzerland,1940,4219596.0
Syria,1940,2942179.0
Taiwan,1940,
Tajikistan,1940,1388192.0
Tanzania,1940,6409572.0
Thailand,1940,15865398.0
Timor-Leste,1940,449273.0
Togo,1940,1272646.0
Tokelau,1940,1189.0
Tonga,1940,34868.0
Transnistria,1940,
Trinidad and Tobago,1940,487372.0
Tunisia,1940,3034920.0
Turkey,1940,17777172.0
Turkmenistan,1940,1102907.0
Turks and Caicos Islands,1940,5985.0
Tuvalu,1940,4877.0
Uganda,1940,4226918.0
Ukraine,1940,33942864.0
United Arab Emirates,1940,64713.0
United Kingdom,1940,48235963.0
United States,1940,134354133.0
Uruguay,1940,1973524.0
USSR,1940,
Uzbekistan,1940,6307794.0
Wallis et Futuna,1940,6653.0
Vanuatu,1940,45428.0
Venezuela,1940,4082981.0
West Bank and Gaza,1940,709412.0
West Germany,1940,
Western Sahara,1940,11578.0
Vietnam,1940,22322198.0
Virgin Islands (U.S.),1940,24855.0
North Yemen (former),1940,
South Yemen (former),1940,
Yemen,1940,4077913.0
Yugoslavia,1940,
Zambia,1940,1734228.0
Zimbabwe,1940,2537898.0
Åland,1940,
South Sudan,1940,2457116.0
Curaçao,1940,
Sint Maarten (Dutch part),1940,
St. Martin (French part),1940,
Antarctica,1940,
Bouvet Island,1940,
British Indian Ocean Territory,1940,
Clipperton,1940,
French Southern and Antarctic Lands,1940,
Gaza Strip,1940,
Heard and McDonald Islands,1940,
Northern Marianas,1940,
South Georgia and the South Sandwich Islands,1940,
US Minor Outlying Islands,1940,
Virgin Islands,1940,
West Bank,1940,
Abkhazia,1950,
Afghanistan,1950,7752118.0
Akrotiri and Dhekelia,1950,10661.0
Albania,1950,1263171.0
Algeria,1950,8872247.0
American Samoa,1950,18937.0
Andorra,1950,6197.0
Angola,1950,4354882.0
Anguilla,1950,5121.0
Antigua and Barbuda,1950,46301.0
Argentina,1950,17150335.0
Armenia,1950,1353506.0
Aruba,1950,38066.0
Australia,1950,8177344.0
Austria,1950,6936445.0
Azerbaijan,1950,2895997.0
Bahamas,1950,79088.0
Bahrain,1950,115614.0
Bangladesh,1950,37894680.0
Barbados,1950,210995.0
Belarus,1950,7745003.0
Belgium,1950,8628489.0
Belize,1950,68918.0
Benin,1950,2255221.0
Bermuda,1950,37260.0
Bhutan,1950,176795.0
Bolivia,1950,3089649.0
Bosnia and Herzegovina,1950,2661293.0
Botswana,1950,412533.0
Brazil,1950,53974726.0
British Virgin Islands,1950,7441.0
Brunei,1950,48001.0
Bulgaria,1950,7250999.0
Burkina Faso,1950,4284457.0
Burundi,1950,2308923.0
